staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,17.700147599000047,18.18905784600065,18.18905784600065,18.202529228999992,18.485610080999322,right,10.0,0,0,1.228588708998359,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
1,2,12.0,19.474419751000823,19.945901241000684,19.945901241000684,19.987162995999824,20.247501657999237,right,12.0,0,0,0.4943495779989462,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
2,2,14.0,20.46463831999972,20.951949947000685,20.951949947000685,20.964799211000354,21.246209364000606,left,-14.0,0,0,0.5023479529991164,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
3,2,16.0,21.471673017000285,21.960270552999646,21.960270552999646,21.9709031959992,22.25850198400076,left,-16.0,0,0,0.412658894998458,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
4,1,18.0,22.39381440500074,22.878073092000704,22.878073092000704,22.892334960999506,23.180933186000402,left,-18.0,1,1,0.7450963030005369,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
5,1,17.0,23.64190641300047,24.13193667499945,24.13193667499945,24.1429631459996,24.42817150600058,right,17.0,1,1,0.5823750429990469,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
6,1,17.0,24.7318925769996,25.22415950499999,25.22415950499999,25.238204261000647,25.525160096000036,left,-17.0,1,1,0.4119774979990325,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
7,1,17.0,25.669841934000942,26.15537383999981,26.15537383999981,26.16965170200092,26.453834981999535,right,17.0,1,1,0.6921658060000482,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
8,1,16.0,26.86688513899935,27.360201694000352,27.360201694000352,27.386155390000567,27.65834624799936,right,16.0,1,1,0.6789177889986604,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
9,1,16.0,28.052148094000586,28.53907921499922,28.53907921499922,28.54856564399961,28.83057456899951,left,-16.0,1,1,0.39364396599921747,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
10,1,16.0,28.954917810000552,29.442346944000747,29.442346944000747,29.45745105900096,29.738437825999426,left,-16.0,1,1,0.4234175619985763,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
11,1,15.0,29.88079838200065,30.366071283000565,30.366071283000565,30.377266942999995,30.671915454000555,right,15.0,1,1,0.5473005189996911,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
12,1,15.0,30.928037736999613,31.4161008530009,31.4161008530009,31.427785353000218,31.722083852999276,right,15.0,1,1,0.47237276600026235,025233,001,2023-09-07_16h47.12.634,AdaptiveStaircase_Nikita,2023.1.3,None,
